oid,tgrelid,tgparentid,tgname,tgfoid,tgtype,tgenabled,tgisinternal,tgconstrrelid,tgconstrindid,tgconstraint,tgdeferrable,tginitdeferred,tgnargs,tgattr,tgargs,tgqual,tgoldtable,tgnewtable
17916,16435,0,RI_ConstraintTrigger_a_17916,1655,17,O,True,16441,17305,17914,False,False,0,,<memory at 0x000001A696D1FD00>,,,
17917,16441,0,RI_ConstraintTrigger_c_17917,1644,5,O,True,16435,17305,17914,False,False,0,,<memory at 0x000001A696D1FE80>,,,
17918,16441,0,RI_ConstraintTrigger_c_17918,1645,17,O,True,16435,17305,17914,False,False,0,,<memory at 0x000001A696CF4040>,,,
17920,16441,0,RI_ConstraintTrigger_a_17920,1654,9,O,True,17136,17456,17919,False,False,0,,<memory at 0x000001A696CF41C0>,,,
17921,16441,0,RI_ConstraintTrigger_a_17921,1655,17,O,True,17136,17456,17919,False,False,0,,<memory at 0x000001A696CF4340>,,,
17922,17136,0,RI_ConstraintTrigger_c_17922,1644,5,O,True,16441,17456,17919,False,False,0,,<memory at 0x000001A696CF44C0>,,,
17923,17136,0,RI_ConstraintTrigger_c_17923,1645,17,O,True,16441,17456,17919,False,False,0,,<memory at 0x000001A696CF4640>,,,
17925,17108,0,RI_ConstraintTrigger_a_17925,1654,9,O,True,17136,17345,17924,False,False,0,,<memory at 0x000001A696CF47C0>,,,
17926,17108,0,RI_ConstraintTrigger_a_17926,1655,17,O,True,17136,17345,17924,False,False,0,,<memory at 0x000001A696CF4940>,,,
17927,17136,0,RI_ConstraintTrigger_c_17927,1644,5,O,True,17108,17345,17924,False,False,0,,<memory at 0x000001A696CF4AC0>,,,
17928,17136,0,RI_ConstraintTrigger_c_17928,1645,17,O,True,17108,17345,17924,False,False,0,,<memory at 0x000001A696CF4C40>,,,
17930,16441,0,RI_ConstraintTrigger_a_17930,1654,9,O,True,16518,17456,17929,False,False,0,,<memory at 0x000001A696CF4DC0>,,,
17931,16441,0,RI_ConstraintTrigger_a_17931,1655,17,O,True,16518,17456,17929,False,False,0,,<memory at 0x000001A696CF4F40>,,,
17932,16518,0,RI_ConstraintTrigger_c_17932,1644,5,O,True,16441,17456,17929,False,False,0,,<memory at 0x000001A696CF50C0>,,,
17933,16518,0,RI_ConstraintTrigger_c_17933,1645,17,O,True,16441,17456,17929,False,False,0,,<memory at 0x000001A696CF5240>,,,
17935,16511,0,RI_ConstraintTrigger_a_17935,1654,9,O,True,16518,17474,17934,False,False,0,,<memory at 0x000001A696CF53C0>,,,
17936,16511,0,RI_ConstraintTrigger_a_17936,1655,17,O,True,16518,17474,17934,False,False,0,,<memory at 0x000001A696CF5540>,,,
17937,16518,0,RI_ConstraintTrigger_c_17937,1644,5,O,True,16511,17474,17934,False,False,0,,<memory at 0x000001A696CF56C0>,,,
17938,16518,0,RI_ConstraintTrigger_c_17938,1645,17,O,True,16511,17474,17934,False,False,0,,<memory at 0x000001A696CF5840>,,,
17940,16786,0,RI_ConstraintTrigger_a_17940,1654,9,O,True,16651,17754,17939,False,False,0,,<memory at 0x000001A696CF59C0>,,,
17941,16786,0,RI_ConstraintTrigger_a_17941,1655,17,O,True,16651,17754,17939,False,False,0,,<memory at 0x000001A696CF5B40>,,,
17942,16651,0,RI_ConstraintTrigger_c_17942,1644,5,O,True,16786,17754,17939,False,False,0,,<memory at 0x000001A696CF5CC0>,,,
17943,16651,0,RI_ConstraintTrigger_c_17943,1645,17,O,True,16786,17754,17939,False,False,0,,<memory at 0x000001A696CF5E40>,,,
17945,16786,0,RI_ConstraintTrigger_a_17945,1654,9,O,True,16651,17754,17944,False,False,0,,<memory at 0x000001A696CF5FC0>,,,
